ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Joan F. Kessler,Scattering ,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,17,Wards 7 - 9,288,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,18,Ward 10,296,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,19,Wards 11 & 12,258,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,20,Wards 13 & 14,222,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,21,Ward 15,461,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,38,Wards 1 - 4,403,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,39,Wards 5 - 8,215,5,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,40,Wards 9 - 12,128,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,41,Wards 13 - 16,204,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,42,Wards 17 - 20,263,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,226,Franklin,41226,43,Wards 21 - 24,148,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,4,10,1,41,Milwaukee,City,231,Glendale,41231,20,Wards 1 & 7,50,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,City,231,Glendale,41231,21,Wards 2 & 8,250,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,City,231,Glendale,41231,22,Wards 3 & 9,87,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,City,231,Glendale,41231,23,Wards 4 & 10,115,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,City,231,Glendale,41231,24,Wards 5 & 11,84,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,4,10,1,41,Milwaukee,City,231,Glendale,41231,25,Wards 6 & 12,62,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,1,Ward 1,130,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,2,Ward 2,93,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,3,Ward 3,65,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,4,Ward 4,66,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,5,Ward 5,57,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,6,Ward 6,56,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,7,Ward 7,55,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,8,Ward 8,110,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,9,Ward 9,53,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,10,Ward 10,26,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,11,Ward 11,49,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,City,236,Greenfield,41236,12,Ward 12,38,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,13,Ward 13,62,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,14,Ward 14,60,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,15,Ward 15,47,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,16,Ward 16,43,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,17,Ward 17,45,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,18,Ward 18,79,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,19,Ward 19,130,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,20,Ward 20,110,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,3,7,1,41,Milwaukee,City,236,Greenfield,41236,21,Ward 21,49,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,1,Ward 1,18,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,2,Ward 2,6,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,3,Ward 3,25,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,4,Ward 4,7,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,5,Ward 5,10,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,6,Ward 6,9,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,7,Ward 7,6,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,8,Ward 8,11,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,9,Ward 9,10,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,10,Ward 10,15,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,11,Ward 11,15,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,12,Ward 12,18,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,13,Ward 13,13,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,14,Ward 14,12,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,15,Ward 15,19,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,16,Ward 16,18,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,17,Ward 17,45,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,18,Ward 18,25,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,19,Ward 19,19,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,20,Ward 20,4,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,21,Ward 21,18,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,22,Ward 22,10,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,23,Ward 23,8,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,24,Ward 24,16,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,25,Ward 25,10,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,26,Ward 26,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,27,Ward 27,21,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,28,Ward 28,3,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,29,Ward 29,12,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,30,Ward 30,26,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,31,Ward 31,25,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,32,Ward 32,21,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,33,Ward 33,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,34,Ward 34,16,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,35,Ward 35,18,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,36,Ward 36,24,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,37,Ward 37,31,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,8,22,1,41,Milwaukee,City,251,Milwaukee,41251,38,Ward 38,18,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,39,Ward 39,5,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,8,22,1,41,Milwaukee,City,251,Milwaukee,41251,40,Ward 40,17,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,41,Ward 41,35,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,42,Ward 42,120,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,43,Ward 43,11,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,44,Ward 44,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,45,Ward 45,25,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,46,Ward 46,1,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,47,Ward 47,10,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,10,1,41,Milwaukee,City,251,Milwaukee,41251,48,Ward 48,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,49,Ward 49,15,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,50,Ward 50,24,6,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,51,Ward 51,29,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,52,Ward 52,25,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,53,Ward 53,45,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,54,Ward 54,36,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,55,Ward 55,34,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,56,Ward 56,78,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,57,Ward 57,27,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,58,Ward 58,29,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,19,1,41,Milwaukee,City,251,Milwaukee,41251,59,Ward 59,19,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,60,Ward 60,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,61,Ward 61,7,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,62,Ward 62,0,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,3,8,1,41,Milwaukee,City,251,Milwaukee,41251,63,Ward 63,2,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,3,8,1,41,Milwaukee,City,251,Milwaukee,41251,64,Ward 64,27,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,65,Ward 65,6,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,66,Ward 66,2,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,18,1,41,Milwaukee,City,251,Milwaukee,41251,67,Ward 67,9,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,18,1,41,Milwaukee,City,251,Milwaukee,41251,68,Ward 68,5,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,18,1,41,Milwaukee,City,251,Milwaukee,41251,69,Ward 69,3,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,70,Ward 70,44,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,71,Ward 71,4,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,72,Ward 72,6,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,16,1,41,Milwaukee,City,251,Milwaukee,41251,73,Ward 73,20,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,74,Ward 74,5,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,75,Ward 75,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,76,Ward 76,13,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,77,Ward 77,23,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,78,Ward 78,20,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,79,Ward 79,12,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,11,1,41,Milwaukee,City,251,Milwaukee,41251,80,Ward 80,14,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,81,Ward 81,17,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,82,Ward 82,19,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,4,12,1,41,Milwaukee,City,251,Milwaukee,41251,83,Ward 83,21,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,6,17,1,41,Milwaukee,City,251,Milwaukee,41251,84,Ward 84,14,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,85,Ward 85,33,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,86,Ward 86,8,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,87,Ward 87,21,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,88,Ward 88,35,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,89,Ward 89,16,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,90,Ward 90,10,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,91,Ward 91,17,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,92,Ward 92,26,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,City,251,Milwaukee,41251,93,Ward 93,15,2,
